X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
798,1067,7431924
798,1067,7431935
798,1067,7431961
798,1067,7431969
799,1068,7431980
799,1069,7431993
800,1070,7432002
800,1071,7432013
800,1072,7432024
800,1072,7432040
800,1075,7432045
776,1232,7432056
778,1311,7432149
809,1201,7432157
827,1115,7432169
825,1095,7432180
822,1088,7432190
821,1086,7432202
823,1068,7432228
827,1019,7432235
833,993,7432247
835,987,7432260
834,986,7432269
826,990,7432280
819,992,7432291
817,993,7432302
817,993,7432313
811,994,7432338
807,974,7432347
806,971,7432357
805,932,7432369
794,642,7432380
765,272,7432390
763,251,7432402
763,239,7432416
762,229,7432424
758,186,7432435
756,174,7432448
755,171,7432457
755,171,7432468
756,172,7432495
757,171,7432502
758,171,7432513
756,170,7432526
748,163,7432535
706,132,7432546
703,129,7432572
692,120,7432580
689,117,7432590
686,114,7432604
676,104,7432613
677,103,7432623
677,105,7432651
676,106,7432656
676,106,7432668
674,106,7432681
668,104,7432690
666,103,7432701
663,101,7432728
650,95,7432735
649,95,7432746
646,94,7432759
647,94,7432768
647,94,7432779
647,91,7432790
648,90,7432805
649,90,7432813
649,90,7432823
650,91,7432836
650,92,7432846
651,91,7432856
650,91,7432883
649,92,7432890
643,93,7432901
646,93,7432915
643,92,7432923
223,75,7432934
140,77,7432961
113,75,7432968
105,75,7432992
88,74,7433001
97,74,7433012
64,72,7433023
65,72,7433035
63,73,7433046
61,76,7433070
61,75,7433079
60,75,7433089
60,74,7433102
60,75,7433113
60,75,7433123
58,76,7433148
58,75,7433156
56,77,7433168
56,78,7433195
46,78,7433201
25,81,7433213
23,81,7433225
20,81,7433235
16,80,7433246
15,79,7433256
9,81,7433272
9,80,7433279
8,80,7433304
6,82,7433312
6,82,7433323
6,82,7433350
7,82,7433356
9,81,7433368
9,81,7433381
10,82,7433390
11,83,7433401
10,84,7433412
10,85,7433428
10,85,7433434
10,86,7433446
10,88,7433460
10,88,7433468
10,89,7433479
10,89,7433491
10,89,7433501
11,87,7433512
16,87,7433523
26,86,7433534
29,85,7433546
39,84,7433556
41,83,7433570
47,77,7433579
48,77,7433589
49,77,7433617
52,78,7433622
50,77,7433649
50,77,7433656
50,77,7433667
55,77,7433679
56,77,7433689
57,78,7433701
56,79,7433726
57,81,7433734
58,82,7433746
57,82,7433757
57,82,7433767
57,84,7433779
57,84,7433803
58,85,7433812
59,84,7433822
59,84,7433849
60,85,7433855
60,85,7433867
61,85,7433880
62,85,7433889
62,86,7433900
62,86,7433912
62,87,7433928
65,88,7433934
65,89,7433945
66,89,7433958
66,89,7433967
64,89,7433979
63,88,7433990
63,88,7434000
63,86,7434012
61,87,7434022
57,94,7434034
49,101,7434045
48,102,7434069
42,104,7434078
41,106,7434089
40,106,7434102
41,106,7434112
42,107,7434122
41,105,7434134
41,106,7434148
41,108,7434156
42,110,7434167
42,111,7434179
43,112,7434189
44,112,7434200
44,111,7434212
45,111,7434224
45,111,7434234
45,112,7434245
45,112,7434256
43,111,7434267
43,111,7434278
43,111,7434303
43,111,7434312
42,111,7434322
41,111,7434334
41,111,7434345
39,112,7434355
39,113,7434366
33,120,7434376
460,903,7434466
553,1085,7434478
573,1091,7434488
588,1060,7434504
587,1014,7434512
586,986,7434522
585,981,7434535
583,993,7434545
581,1001,7434555
585,990,7434582
596,953,7434588
596,950,7434600
595,945,7434614
594,943,7434622
595,955,7434634
594,959,7434660
594,963,7434667
594,963,7434692
598,964,7434700
598,961,7434711
598,959,7434723
598,959,7434734
597,959,7434745
597,960,7434770
599,960,7434778
599,961,7434788
600,960,7434801
602,957,7434812
705,817,7434822
824,644,7434848
861,590,7434855
876,568,7434867
887,550,7434879
889,547,7434888
889,547,7434900
891,542,7434926
892,538,7434933
892,537,7434945
893,537,7434957
894,538,7434967
895,537,7434978
895,537,7435002
880,523,7435011
874,518,7435022
867,512,7435034
864,509,7435045
860,506,7435055
858,504,7435066
837,485,7435080
837,485,7435088
836,484,7435100
837,486,7435127
837,486,7435133
837,486,7435159
836,486,7435166
835,486,7435178
824,485,7435191
804,481,7435200
801,484,7435211
801,484,7435222
803,487,7435233
803,487,7435245
803,488,7435255
802,488,7435269
801,490,7435278
800,490,7435288
799,490,7435300
799,491,7435311
798,491,7435321
797,491,7435333
797,491,7435347
797,491,7435355
798,490,7435366
800,489,7435378
800,489,7435388
801,489,7435399
800,489,7435411
800,488,7435425
799,487,7435433
800,487,7435444
800,487,7435455
801,492,7435466
801,492,7435477
802,492,7435503
810,487,7435511
813,486,7435521
867,487,7435534
901,488,7435544
920,488,7435554
936,488,7435582
966,487,7435588
999,488,7435599
