X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
796,1026,21911007
795,1026,21911034
794,1025,21911041
793,1024,21911066
790,1026,21911074
788,1032,21911085
788,1032,21911097
789,1034,21911107
789,1032,21911118
793,1032,21911145
795,1032,21911152
799,1028,21911177
800,1025,21911185
800,1027,21911196
799,1023,21911208
799,1023,21911218
799,1023,21911229
797,1024,21911255
796,1026,21911262
798,1031,21911274
798,1031,21911286
798,1030,21911296
798,1029,21911307
799,1029,21911332
798,1028,21911341
792,1022,21911352
790,1021,21911364
793,1022,21911374
793,1022,21911385
793,1022,21911411
796,1021,21911418
802,1025,21911429
802,1024,21911441
803,1024,21911452
802,1025,21911462
803,1026,21911474
803,1024,21911487
793,985,21911496
643,372,21911507
612,249,21911519
606,230,21911529
602,216,21911541
598,202,21911566
589,174,21911574
583,157,21911585
575,140,21911597
572,137,21911607
572,136,21911618
572,135,21911629
590,102,21911644
619,61,21911651
626,54,21911676
633,45,21911685
636,41,21911696
639,37,21911708
640,36,21911718
641,35,21911729
638,30,21911740
639,30,21911754
638,27,21911762
637,26,21911774
637,26,21911786
638,25,21911795
638,25,21911807
638,25,21911833
637,23,21911840
636,21,21911851
636,21,21911864
636,20,21911874
636,20,21911885
636,19,21911895
636,19,21911911
636,19,21911918
636,20,21911929
636,23,21911943
637,22,21911951
627,21,21911962
540,13,21911974
361,-3,21911985
296,-2,21911995
265,-2,21912022
175,-2,21912029
123,0,21912040
58,3,21912053
29,5,21912062
24,5,21912073
25,4,21912085
26,4,21912095
27,5,21912107
27,5,21912118
28,4,21912131
30,3,21912140
32,2,21912151
31,3,21912163
29,6,21912173
29,7,21912184
28,9,21912210
27,10,21912218
27,12,21912228
25,10,21912241
9,2,21912251
-9,-10,21912262
-11,-11,21912288
-15,-14,21912289
-15,-14,21912295
-16,-15,21912306
-17,-16,21912320
-18,-17,21912328
-17,-16,21912340
-16,-16,21912352
-16,-17,21912362
-15,-20,21912373
-15,-20,21912384
-14,-19,21912398
-14,-18,21912406
-14,-17,21912418
-13,-17,21912430
-12,-17,21912440
-12,-17,21912451
-12,-16,21912462
-12,-16,21912477
-13,-16,21912484
-21,-15,21912509
-24,-16,21912517
-26,-15,21912528
-28,-15,21912541
-28,-15,21912551
-29,-16,21912562
-31,-15,21912587
-30,-14,21912595
-30,-13,21912606
-31,-11,21912618
-30,-11,21912628
-30,-10,21912640
-29,-9,21912651
-28,-9,21912665
-28,-9,21912673
-29,-9,21912684
-30,-9,21912696
-29,-9,21912706
-30,-9,21912717
-29,-9,21912742
-28,-8,21912751
-28,-8,21912762
-27,-8,21912774
-22,-6,21912784
-13,-4,21912795
1,-4,21912821
17,-3,21912828
26,-3,21912839
32,-4,21912851
44,-5,21912861
44,-4,21912873
43,-2,21912898
42,-2,21912906
40,-2,21912917
40,-2,21912930
40,-2,21912939
41,-3,21912951
40,-5,21912962
40,-5,21912973
40,-6,21912984
43,-7,21912995
46,-7,21913008
44,-6,21913017
46,-7,21913028
47,-6,21913040
45,-5,21913050
44,-4,21913061
31,6,21913073
28,12,21913086
27,13,21913094
26,13,21913106
25,13,21913133
24,13,21913139
23,12,21913150
22,10,21913164
23,10,21913173
23,10,21913184
23,10,21913195
23,10,21913206
23,10,21913217
24,9,21913228
28,10,21913242
32,13,21913250
43,15,21913261
45,15,21913272
47,18,21913289
47,18,21913294
48,18,21913306
49,18,21913320
49,18,21913328
50,17,21913339
49,17,21913351
49,18,21913361
47,20,21913372
47,21,21913398
46,20,21913406
46,18,21913417
46,19,21913430
45,20,21913439
64,21,21913450
593,29,21913476
603,30,21913483
609,29,21913494
616,28,21913507
617,27,21913517
621,25,21913527
628,22,21913554
632,18,21913561
631,17,21913572
631,16,21913586
630,16,21913594
630,16,21913605
630,15,21913633
631,16,21913639
631,17,21913650
632,18,21913664
632,18,21913672
632,20,21913683
647,65,21913695
765,568,21913705
795,787,21913717
794,797,21913741
793,815,21913750
791,823,21913761
790,834,21913773
780,855,21913783
776,862,21913794
774,861,21913805
771,863,21913820
773,861,21913827
772,863,21913839
773,863,21913851
777,854,21913860
911,521,21913872
919,502,21913897
928,482,21913905
933,471,21913916
937,463,21913928
939,462,21913938
941,461,21913950
942,461,21913960
940,461,21913976
937,461,21913983
938,461,21914007
937,463,21914016
939,462,21914027
939,461,21914039
939,460,21914050
937,461,21914060
939,461,21914072
937,463,21914086
936,463,21914093
937,462,21914105
937,461,21914117
940,461,21914127
985,472,21914138
1082,496,21914164
1090,498,21914172
1094,499,21914183
1100,501,21914195
1103,503,21914205
1108,506,21914216
1108,511,21914227
1106,510,21914238
1106,509,21914249
1103,507,21914260
1102,507,21914274
1102,507,21914283
1103,507,21914294
1103,507,21914321
1104,509,21914327
1107,527,21914338
1108,528,21914352
1108,531,21914360
