X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
73,574,6967533
116,351,6967539
125,300,6967564
131,272,6967573
133,255,6967584
136,240,6967596
144,196,6967606
144,194,6967617
145,184,6967628
145,184,6967643
146,183,6967650
151,179,6967661
151,178,6967675
152,177,6967684
153,177,6967694
152,180,6967706
159,175,6967722
176,168,6967728
191,162,6967754
222,151,6967761
225,149,6967773
228,140,6967786
229,139,6967794
232,143,6967806
232,143,6967832
231,141,6967839
230,141,6967850
231,140,6967863
231,139,6967873
231,138,6967884
231,138,6967894
231,137,6967910
232,136,6967917
233,133,6967928
233,133,6967942
232,134,6967950
231,136,6967961
229,141,6967974
239,143,6967984
243,144,6967994
257,143,6968022
571,140,6968028
588,140,6968039
609,142,6968053
627,143,6968061
661,143,6968072
668,144,6968098
672,143,6968106
670,142,6968117
671,140,6968130
671,139,6968139
670,138,6968150
669,138,6968176
672,137,6968183
672,137,6968194
671,136,6968207
671,135,6968217
668,136,6968227
666,137,6968239
666,137,6968253
665,137,6968261
665,136,6968272
664,136,6968299
664,141,6968305
664,141,6968317
662,139,6968331
657,135,6968339
657,134,6968350
656,134,6968377
655,130,6968383
655,129,6968394
654,129,6968408
653,128,6968417
653,129,6968427
653,129,6968454
647,129,6968459
606,111,6968516
601,233,6968526
591,644,6968539
168,157,6968564
164,181,6968572
172,205,6968583
168,196,6968596
165,186,6968605
163,178,6968617
147,144,6968642
143,143,6968650
143,140,6968660
143,139,6968674
143,139,6968683
145,139,6968694
145,138,6968705
147,136,6968721
149,132,6968727
149,131,6968739
152,130,6968752
153,129,6968760
153,129,6968772
151,128,6968798
149,130,6968805
148,130,6968816
149,131,6968830
145,132,6968839
143,132,6968850
94,118,6968861
83,114,6968872
80,114,6968883
77,113,6968908
75,111,6968916
72,109,6968927
74,108,6968939
68,106,6968949
68,105,6968960
68,105,6968972
68,107,6968986
68,107,6968993
70,108,6969005
69,108,6969018
69,108,6969027
69,111,6969038
69,113,6969050
69,114,6969060
69,115,6969072
70,114,6969083
70,114,6969097
70,111,6969105
71,111,6969116
72,109,6969128
71,109,6969138
70,106,6969149
69,105,6969175
69,106,6969183
70,107,6969193
71,107,6969207
71,107,6969216
70,108,6969227
70,108,6969253
71,106,6969260
69,107,6969272
69,110,6969284
69,109,6969293
69,109,6969305
70,110,6969331
70,112,6969338
70,112,6969349
73,115,6969362
76,118,6969372
148,204,6969383
198,276,6969393
542,778,6969409
601,867,6969416
621,899,6969426
639,926,6969440
658,954,6969449
683,991,6969460
755,1100,6969486
772,1141,6969493
769,1134,6969505
770,1132,6969518
770,1131,6969526
771,1131,6969538
771,1132,6969549
772,1132,6969565
771,1133,6969571
771,1132,6969597
771,1131,6969605
770,1127,6969616
772,1110,6969628
772,1101,6969638
772,1100,6969649
771,1102,6969675
767,1101,6969682
767,1098,6969706
772,1097,6969716
771,1097,6969726
773,1096,6969738
773,1096,6969749
773,1092,6969759
775,1091,6969786
760,1089,6969793
754,1090,6969804
732,1092,6969816
730,1092,6969826
726,1092,6969838
709,1090,6969849
708,1089,6969863
708,1087,6969871
711,1085,6969882
713,1085,6969894
714,1085,6969904
715,1088,6969915
715,1089,6969940
716,1088,6969949
715,1087,6969959
715,1088,6969986
713,1089,6969993
713,1087,6970004
713,1086,6970017
711,1088,6970026
710,1092,6970038
711,1092,6970049
712,1092,6970063
712,1091,6970071
713,1088,6970082
712,1089,6970095
713,1088,6970104
712,1085,6970115
710,1083,6970126
710,1082,6970137
711,1084,6970148
711,1082,6970174
712,1081,6970182
711,1081,6970192
711,1081,6970205
712,1077,6970215
712,1073,6970226
709,1057,6970252
694,999,6970259
693,991,6970271
693,982,6970282
691,976,6970293
689,961,6970304
687,959,6970316
688,958,6970329
689,959,6970338
689,959,6970349
691,957,6970360
691,957,6970371
690,957,6970382
690,958,6970406
690,958,6970407
690,958,6970415
691,958,6970426
692,956,6970438
692,956,6970453
691,959,6970459
692,957,6970470
695,948,6970484
