X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
2016,-194,6530859
2016,-194,6530866
2016,-194,6530878
480,361,6531810
867,396,6531836
913,492,6531844
897,487,6531855
889,484,6531867
879,479,6531877
861,469,6531888
850,463,6531899
845,463,6531914
834,462,6531921
843,469,6531932
828,468,6531945
826,473,6531955
825,474,6531966
826,475,6531992
826,477,6531999
825,479,6532010
824,481,6532024
819,478,6532032
792,463,6532043
760,441,6532056
675,345,6532066
611,276,6532077
577,236,6532103
556,213,6532104
540,195,6532110
423,64,6532135
407,47,6532143
409,47,6532155
408,52,6532168
409,52,6532177
411,53,6532188
411,52,6532214
412,57,6532221
425,57,6532232
533,49,6532245
571,45,6532255
607,39,6532266
621,37,6532291
645,33,6532299
646,32,6532310
649,27,6532322
648,29,6532332
650,28,6532343
652,28,6532370
648,27,6532377
646,26,6532388
645,25,6532401
645,25,6532410
645,24,6532421
646,23,6532433
645,20,6532443
647,19,6532454
648,18,6532479
649,20,6532488
648,21,6532498
647,21,6532525
646,21,6532532
646,21,6532543
644,21,6532557
641,21,6532565
640,20,6532576
639,20,6532604
639,17,6532610
638,17,6532621
637,17,6532633
638,17,6532643
638,17,6532654
640,17,6532680
641,18,6532688
639,17,6532698
639,18,6532711
638,19,6532722
639,17,6532732
639,17,6532757
639,19,6532765
639,18,6532776
639,14,6532788
640,11,6532798
642,10,6532810
642,9,6532835
638,8,6532843
637,8,6532854
638,7,6532866
637,7,6532876
634,8,6532888
633,11,6532913
631,9,6532921
631,9,6532932
631,10,6532945
630,11,6532955
627,9,6532965
627,9,6532976
627,8,6532992
627,3,6532998
629,1,6533010
630,0,6533023
629,3,6533032
628,4,6533043
628,5,6533054
628,6,6533069
629,6,6533076
630,5,6533087
633,3,6533100
632,2,6533110
630,0,6533121
631,0,6533146
627,-2,6533154
628,-2,6533165
628,-2,6533177
631,-1,6533187
630,-2,6533198
634,-3,6533209
634,-4,6533223
633,-2,6533231
632,-1,6533243
632,0,6533270
630,-1,6533276
631,-2,6533302
631,-2,6533310
631,-2,6533321
630,-2,6533334
630,-2,6533343
628,-1,6533354
627,-1,6533365
628,1,6533376
627,1,6533387
627,1,6533412
626,0,6533421
637,0,6533431
647,-1,6533443
653,-3,6533454
657,-1,6533464
658,-1,6533476
659,-1,6533489
660,-3,6533498
660,-4,6533509
661,-6,6533536
662,-8,6533542
664,-7,6533554
664,-7,6533567
665,-4,6533576
666,-1,6533587
667,0,6533598
667,0,6533613
667,0,6533620
665,0,6533631
665,3,6533644
665,2,6533654
664,2,6533664
664,0,6533676
664,0,6533691
662,0,6533697
659,5,6533709
660,4,6533723
660,4,6533731
658,5,6533742
658,6,6533769
658,8,6533776
663,11,6533787
670,16,6533799
700,33,6533809
706,40,6533820
969,307,6533845
1060,422,6533854
1070,437,6533864
1081,451,6533876
1120,502,6533887
1119,516,6533897
1120,521,6533909
1113,522,6533923
1114,520,6533931
1116,518,6533942
1117,520,6533954
1117,522,6533964
1116,521,6533975
1116,522,6534000
1116,523,6534009
1119,525,6534020
1119,525,6534031
1119,525,6534046
1119,524,6534054
1120,523,6534064
1118,525,6534078
1118,523,6534087
1099,517,6534097
973,476,6534109
940,468,6534120
916,465,6534131
902,462,6534142
894,459,6534156
888,456,6534164
888,455,6534175
889,455,6534188
888,458,6534197
889,457,6534209
892,455,6534235
890,455,6534242
885,453,6534253
849,447,6534266
828,444,6534276
824,443,6534287
824,443,6534297
824,444,6534313
822,444,6534320
817,445,6534331
816,445,6534344
815,446,6534353
814,449,6534364
813,450,6534376
814,450,6534387
815,446,6534397
815,445,6534409
813,442,6534422
810,443,6534430
808,446,6534442
805,449,6534468
804,449,6534475
803,447,6534500
801,447,6534508
801,448,6534520
802,452,6534531
803,456,6534542
806,458,6534553
806,459,6534564
804,458,6534578
804,455,6534586
803,452,6534597
802,449,6534609
802,449,6534620
803,448,6534630
803,449,6534656
803,444,6534664
803,443,6534675
807,443,6534688
807,443,6534697
809,443,6534708
808,442,6534734
808,439,6534742
807,439,6534753
807,440,6534766
807,440,6534775
807,441,6534786
808,440,6534812
806,440,6534820
806,440,6534830
806,440,6534842
807,442,6534853
807,442,6534863
807,445,6534875
808,444,6534889
819,441,6534897
861,419,6534908
919,365,6534920
918,365,6534930
918,366,6534942
920,364,6534967
933,353,6534975
931,356,6534986
931,356,6534999
932,359,6535008
932,361,6535019
926,362,6535030
925,363,6535041
915,353,6535053
763,180,6535063
697,95,6535077
685,80,6535086
674,66,6535097
662,54,6535123
642,31,6535130
639,26,6535141
635,31,6535155
634,33,6535163
634,32,6535174
632,31,6535187
632,31,6535196
630,28,6535208
629,27,6535234
629,27,6535242
629,28,6535252
629,28,6535265
628,30,6535275
629,32,6535286
629,34,6535297
630,34,6535312
633,38,6535319
633,38,6535330
635,41,6535344
637,42,6535352
637,43,6535363
637,42,6535375
638,39,6535386
638,36,6535397
639,37,6535422
637,35,6535430
636,34,6535441
636,35,6535452
634,36,6535468
634,37,6535474
634,38,6535485
634,39,6535499
630,41,6535507
624,41,6535519
620,41,6535531
432,35,6535541
273,29,6535552
197,26,6535577
123,23,6535585
83,22,6535596
54,22,6535608
53,23,6535619
54,26,6535630
54,27,6535655
56,28,6535663
56,28,6535674
56,27,6535686
57,27,6535696
56,28,6535707
57,28,6535718
57,28,6535733
58,28,6535741
58,27,6535752
58,28,6535763
57,28,6535774
57,28,6535785
57,30,6535811
56,33,6535819
56,38,6535829
57,41,6535841
57,43,6535852
58,43,6535863
53,31,6535888
365,508,6535896
475,701,6535907
502,764,6535920
509,779,6535929
513,788,6535941
519,800,6535966
528,822,6535967
543,880,6535974
560,944,6535985
560,946,6535998
565,958,6536007
567,961,6536018
568,958,6536029
569,957,6536041
569,957,6536052
571,956,6536062
569,958,6536076
569,957,6536085
560,960,6536096
543,968,6536108
517,980,6536123
504,985,6536129
494,991,6536141
491,993,6536154
487,996,6536162
484,996,6536174
483,996,6536186
482,998,6536196
481,1000,6536207
481,1001,6536232
480,1000,6536233
479,997,6536241
480,998,6536252
480,998,6536264
480,997,6536274
481,998,6536285
493,1001,6536311
526,1007,6536318
532,1008,6536329
536,1009,6536343
543,1009,6536352
560,1009,6536362
564,1005,6536374
563,1004,6536388
556,1006,6536395
557,1004,6536407
557,1004,6536420
562,1005,6536429
562,1004,6536440
558,1004,6536467
557,1002,6536473
559,1002,6536485
574,1004,6536497
687,1004,6536507
686,1003,6536518
692,1001,6536544
705,999,6536551
710,999,6536562
745,999,6536574
743,999,6536585
741,1001,6536596
738,1001,6536607
738,1000,6536620
738,1000,6536629
737,1003,6536640
725,1003,6536652
706,1002,6536662
689,1003,6536674
685,1003,6536699
677,1004,6536700
670,1006,6536707
658,1014,6536718
653,1014,6536731
652,1011,6536740
652,1011,6536751
650,1013,6536777
654,1011,6536785
652,1011,6536795
653,1012,6536809
652,1013,6536818
654,1014,6536829
657,1018,6536841
657,1019,6536851
656,1021,6536862
652,1030,6536888
650,1039,6536889
649,1040,6536895
648,1046,6536907
653,1048,6536920
656,1049,6536929
665,1046,6536940
662,1046,6536966
669,1043,6536973
682,1039,6536984
690,1039,6536998
692,1039,6537007
695,1038,6537018
694,1039,6537029
693,1039,6537040
693,1039,6537051
691,1036,6537062
691,1035,6537076
690,1035,6537084
684,1041,6537095
683,1041,6537107
684,1038,6537117
688,1028,6537128
689,1027,6537154
695,1025,6537161
696,1024,6537173
721,991,6537186
827,844,6537194
