X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
803,1114,10093200
799,1101,10093210
806,1079,10093222
802,1057,10093248
794,1037,10093255
791,1047,10093266
795,1052,10093279
796,1054,10093288
798,1047,10093299
796,1048,10093311
798,1048,10093321
780,1055,10093332
781,1054,10093359
789,1053,10093365
782,1056,10093391
779,1050,10093399
777,1053,10093410
769,1050,10093436
775,1055,10093443
786,1055,10093454
787,1054,10093467
788,1052,10093477
787,1051,10093488
787,1052,10093499
789,1054,10093514
807,1057,10093522
795,1052,10093532
788,1052,10093545
769,1047,10093555
759,1045,10093566
739,1043,10093592
726,1036,10093599
730,1023,10093610
727,1023,10093623
719,1022,10093632
730,1018,10093643
740,1012,10093670
727,905,10093677
631,672,10093688
657,687,10093700
639,546,10093710
634,502,10093722
629,475,10093747
593,338,10093755
590,339,10093766
571,257,10093779
562,165,10093789
565,162,10093799
564,167,10093826
559,178,10093832
556,179,10093858
543,170,10093865
544,172,10093877
355,80,10093889
303,61,10093904
296,59,10093910
286,57,10093922
275,52,10093935
264,48,10093944
229,35,10093955
229,39,10093967
225,37,10093977
227,40,10093988
228,41,10094013
227,56,10094022
228,54,10094032
220,53,10094045
196,52,10094055
131,42,10094066
128,42,10094093
114,39,10094099
109,38,10094110
104,38,10094124
103,39,10094132
101,33,10094144
100,32,10094170
101,29,10094177
95,22,10094188
96,21,10094201
97,24,10094210
98,33,10094221
99,35,10094232
101,34,10094248
105,32,10094255
108,33,10094266
107,33,10094278
50,12,10094288
37,12,10094299
29,9,10094324
22,7,10094332
8,3,10094343
1,2,10094356
1,3,10094365
3,6,10094377
5,10,10094403
-3,0,10094410
-6,11,10094422
-3,13,10094434
3,14,10094443
8,14,10094455
17,12,10094465
12,11,10094481
12,9,10094488
12,9,10094499
5,-8,10094512
4,-13,10094521
5,-8,10094532
0,-14,10094543
0,-17,10094559
-1,-14,10094565
2,-12,10094576
7,-7,10094590
21,-1,10094598
25,2,10094610
29,4,10094622
36,8,10094632
41,13,10094643
46,16,10094669
52,21,10094676
55,21,10094688
56,23,10094700
57,23,10094710
65,24,10094721
67,24,10094746
66,23,10094754
61,19,10094765
50,16,10094778
48,14,10094788
46,14,10094798
46,13,10094825
48,13,10094826
48,13,10094832
46,13,10094843
43,14,10094857
41,14,10094865
42,14,10094876
46,11,10094903
54,10,10094909
59,10,10094921
60,9,10094934
63,7,10094943
67,5,10094954
66,5,10094965
66,5,10094976
66,5,10094988
64,4,10094998
62,4,10095012
62,3,10095021
62,2,10095031
60,1,10095043
59,-1,10095059
60,-3,10095065
63,-5,10095091
68,-9,10095098
65,-10,10095109
39,-18,10095122
52,-15,10095131
51,-14,10095143
52,-12,10095168
40,-10,10095176
42,-12,10095187
45,-12,10095199
47,-10,10095209
55,-3,10095221
58,1,10095246
56,-6,10095254
59,-6,10095264
60,-5,10095277
61,-2,10095288
58,-2,10095298
58,0,10095309
58,0,10095323
58,-1,10095331
60,0,10095343
62,2,10095355
64,2,10095365
62,2,10095376
73,8,10095401
311,10,10095409
358,9,10095421
411,4,10095431
443,0,10095447
474,-4,10095454
501,-7,10095479
642,-17,10095487
646,-20,10095498
644,-21,10095510
641,-18,10095521
639,-17,10095531
628,-16,10095557
628,-16,10095565
629,-17,10095576
629,-16,10095588
629,-16,10095598
631,-11,10095609
634,-11,10095636
637,-7,10095643
637,-5,10095654
637,-4,10095667
639,-1,10095676
639,-1,10095687
636,0,10095698
633,-3,10095708
567,35,10095764
373,249,10095791
359,230,10095798
337,252,10095809
456,94,10095823
509,73,10095831
518,68,10095842
540,53,10095854
570,25,10095864
582,13,10095876
589,8,10095887
593,-1,10095900
603,-14,10095909
604,-17,10095920
599,-29,10095946
590,-39,10095954
589,-39,10095964
589,-39,10095977
588,-42,10095987
586,-42,10095998
586,-45,10096024
588,-51,10096031
588,-53,10096056
588,-53,10096064
581,-51,10096075
581,-53,10096088
581,-53,10096098
581,-56,10096109
578,-57,10096120
576,-59,10096135
576,-59,10096142
575,-57,10096154
578,-58,10096167
579,-60,10096175
578,-63,10096187
576,-65,10096213
577,-63,10096220
577,-64,10096231
578,-64,10096244
579,-66,10096253
612,-31,10096264
626,-18,10096290
948,336,10096297
953,345,10096309
958,353,10096321
966,363,10096331
970,370,10096342
1007,414,10096353
993,435,10096367
990,438,10096375
991,439,10096386
991,440,10096399
993,441,10096409
997,442,10096420
997,443,10096446
993,441,10096453
993,440,10096464
994,448,10096477
993,445,10096487
992,453,10096497
991,457,10096523
991,475,10096530
991,476,10096542
993,477,10096554
994,475,10096564
993,475,10096575
990,474,10096601
991,471,10096609
995,467,10096620
998,469,10096632
1000,470,10096642
999,471,10096653
999,474,10096664
990,491,10096678
988,493,10096686
926,557,10096697
847,650,10096710
833,667,10096720
816,687,10096730
793,710,10096757
757,748,10096764
660,856,10096775
617,906,10096789
619,898,10096797
624,902,10096809
625,902,10096820
626,902,10096830
625,901,10096842
625,902,10096853
626,903,10096867
628,908,10096875
629,910,10096886
631,908,10096898
652,928,10096908
654,930,10096919
659,941,10096944
676,960,10096953
677,962,10096964
674,973,10096975
672,973,10096986
663,977,10096997
659,978,10097008
656,983,10097022
654,985,10097030
653,986,10097041
661,989,10097053
663,990,10097064
660,991,10097075
