X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
764,988,1490791
761,996,1490799
760,1000,1490809
761,998,1490823
711,1292,1490831
508,456,1490954
575,415,1490980
606,437,1490988
643,448,1490999
625,428,1491012
717,344,1491021
750,313,1491033
759,299,1491043
764,291,1491055
778,278,1491066
773,284,1491076
796,235,1491090
802,221,1491099
805,225,1491110
805,224,1491122
800,234,1491133
801,231,1491143
803,231,1491155
803,231,1491168
804,230,1491177
810,227,1491188
812,226,1491215
816,225,1491222
813,225,1491234
810,225,1491246
809,226,1491255
807,226,1491266
807,227,1491277
799,223,1491288
792,219,1491299
777,202,1491325
630,49,1491333
617,33,1491343
608,22,1491356
599,10,1491366
578,-13,1491376
574,-17,1491403
579,-23,1491409
580,-22,1491421
582,-22,1491433
583,-21,1491443
586,-16,1491455
588,-16,1491466
587,-16,1491480
571,-14,1491488
491,-1,1491499
387,0,1491511
337,0,1491521
313,0,1491533
291,0,1491558
217,0,1491565
187,0,1491576
35,-2,1491588
23,-3,1491599
25,-4,1491609
27,-5,1491621
25,-6,1491635
27,-10,1491643
28,-12,1491654
27,-12,1491666
30,-12,1491676
31,-14,1491688
31,-15,1491699
32,-17,1491712
31,-18,1491721
30,-17,1491732
29,-17,1491743
26,-16,1491754
26,-16,1491765
28,-16,1491790
25,-14,1491799
21,-15,1491809
21,-15,1491821
22,-16,1491837
23,-17,1491843
24,-18,1491868
24,-17,1491876
21,-16,1491887
16,-18,1491913
-1,-21,1491921
-10,-21,1491932
-20,-24,1491945
-22,-27,1491954
-24,-29,1491965
-26,-26,1491991
-27,-18,1491998
-28,-20,1492009
-28,-19,1492022
-25,-16,1492032
-23,-16,1492042
-23,-18,1492069
-24,-18,1492076
-23,-15,1492087
-23,-15,1492099
-22,-15,1492109
-20,-15,1492121
-19,-15,1492146
-19,-12,1492154
-19,-11,1492165
-18,-10,1492177
-17,-9,1492187
-17,-8,1492198
-16,-9,1492209
-16,-18,1492223
-15,-20,1492232
-10,-23,1492242
-10,-23,1492254
-9,-23,1492265
-7,-23,1492276
0,-22,1492288
1,-23,1492301
-1,-24,1492309
0,-24,1492320
0,-22,1492333
0,-22,1492342
2,-21,1492354
3,-20,1492365
-52,844,1492490
94,275,1492497
94,209,1492509
139,155,1492522
158,127,1492532
238,13,1492542
250,-4,1492568
206,62,1492575
252,6,1492587
263,-7,1492600
290,-36,1492609
298,-43,1492620
300,-45,1492647
300,-45,1492654
294,-51,1492665
293,-49,1492678
248,-44,1492687
111,-21,1492698
97,-19,1492709
86,-18,1492720
73,-19,1492731
58,-18,1492742
45,-18,1492756
40,-16,1492765
40,-20,1492775
41,-18,1492802
38,-19,1492809
35,-21,1492820
32,-24,1492833
33,-23,1492842
32,-23,1492853
31,-25,1492865
29,-29,1492875
28,-29,1492887
25,-29,1492913
22,-30,1492920
22,-30,1492931
22,-30,1492945
23,-28,1492953
25,-28,1492965
25,-26,1492977
5,-23,1492987
1,-23,1492998
-18,-24,1493009
-22,-24,1493020
-25,-24,1493031
-32,-25,1493056
-36,-29,1493064
-38,-29,1493075
-37,-30,1493087
-38,-28,1493102
-38,-27,1493108
-37,-27,1493120
-36,-28,1493134
-36,-28,1493142
-35,-28,1493153
-33,-27,1493164
-34,-27,1493180
-13,-27,1493186
300,-45,1493211
535,-57,1493220
541,-57,1493231
545,-57,1493242
553,-57,1493253
555,-57,1493264
561,-53,1493289
563,-48,1493298
567,-47,1493308
565,-47,1493320
564,-47,1493331
560,-51,1493341
560,-52,1493368
561,-50,1493375
560,-49,1493386
561,-50,1493399
562,-51,1493408
563,-50,1493420
564,-50,1493432
565,-46,1493441
567,-45,1493453
567,-46,1493478
576,-51,1493486
576,-51,1493498
580,-52,1493510
585,-53,1493520
588,-54,1493531
593,-59,1493542
600,-70,1493553
601,-73,1493564
602,-76,1493575
603,-77,1493588
604,-79,1493598
605,-81,1493608
605,-81,1493634
616,-68,1493641
624,-58,1493653
642,-28,1493665
826,264,1493675
833,276,1493686
838,283,1493712
845,295,1493720
863,326,1493731
861,328,1493744
861,331,1493753
858,334,1493764
861,333,1493775
859,332,1493786
858,332,1493798
858,336,1493822
857,339,1493831
857,341,1493841
856,339,1493853
855,340,1493864
847,346,1493874
807,361,1493886
797,365,1493900
791,367,1493908
785,370,1493919
780,374,1493931
777,376,1493941
761,385,1493953
763,386,1493978
761,391,1493986
762,391,1493997
763,394,1494009
765,397,1494019
765,397,1494030
765,398,1494056
765,398,1494064
765,398,1494074
766,398,1494087
764,398,1494097
763,400,1494107
757,405,1494119
756,406,1494134
756,407,1494141
754,408,1494152
752,408,1494165
752,408,1494174
750,409,1494186
749,409,1494197
747,410,1494211
744,414,1494219
743,414,1494230
744,418,1494241
745,419,1494252
745,421,1494264
745,422,1494274
745,421,1494288
749,420,1494297
751,420,1494307
753,423,1494320
752,424,1494330
752,424,1494341
752,424,1494367
751,425,1494374
750,427,1494386
750,428,1494398
750,429,1494407
750,429,1494419
750,429,1494430
751,431,1494444
752,430,1494452
766,427,1494463
775,426,1494476
792,424,1494486
796,425,1494497
797,425,1494523
801,423,1494530
803,423,1494554
804,425,1494563
802,427,1494574
801,429,1494586
802,429,1494597
802,428,1494607
802,426,1494619
800,427,1494632
800,428,1494640
800,429,1494652
802,430,1494664
802,430,1494674
802,430,1494685
803,431,1494711
804,432,1494719
805,432,1494730
806,434,1494741
807,437,1494752
806,439,1494763
805,440,1494788
806,442,1494789
807,443,1494796
809,445,1494807
809,446,1494819
808,447,1494830
808,448,1494840
808,447,1494852
809,447,1494867
809,447,1494874
809,446,1494885
809,447,1494898
809,448,1494907
809,448,1494919
810,449,1494944
809,453,1494952
810,449,1494963
810,451,1494974
727,412,1494985
553,328,1494996
543,323,1495007
461,284,1495021
387,249,1495030
322,219,1495040
259,190,1495067
278,201,1495074
19,82,1495085
20,81,1495099
21,81,1495107
21,81,1495118
20,81,1495129
19,76,1495145
17,70,1495152
10,56,1495163
9,45,1495176
8,43,1495185
8,39,1495196
7,38,1495222
3,29,1495230
0,27,1495240
0,27,1495254
2,28,1495263
4,29,1495273
4,29,1495300
3,28,1495306
1,25,1495318
0,18,1495332
2,15,1495340
2,13,1495352
0,11,1495378
0,11,1495385
0,10,1495396
0,11,1495409
0,11,1495418
0,11,1495429
-1,11,1495440
-1,10,1495451
0,9,1495463
1,8,1495487
0,8,1495496
-3,8,1495507
-17,5,1495518
-21,4,1495534
-26,6,1495540
-27,7,1495552
-28,7,1495564
-27,5,1495573
-27,4,1495585
-25,6,1495611
-25,5,1495618
-24,7,1495629
-25,7,1495643
-25,7,1495651
-24,6,1495663
-24,5,1495674
-25,3,1495685
-25,3,1495696
-24,3,1495721
-22,6,1495729
-22,5,1495740
-20,4,1495751
-16,5,1495767
-4,8,1495773
1,9,1495785
10,10,1495798
19,10,1495806
23,10,1495818
33,13,1495844
48,18,1495851
48,17,1495862
50,14,1495875
51,14,1495885
51,13,1495896
51,13,1495922
52,10,1495929
52,10,1495940
52,9,1495952
52,8,1495963
52,6,1495973
53,5,1495984
53,6,1495998
57,6,1496006
65,6,1496018
68,6,1496030
78,7,1496039
80,7,1496051
84,8,1496062
88,9,1496077
92,8,1496085
92,8,1496095
92,8,1496108
93,10,1496118
94,10,1496129
96,10,1496140
95,10,1496151
106,1,1496162
102,3,1496187
540,-28,1496196
548,-28,1496206
554,-29,1496233
568,-28,1496239
580,-28,1496251
587,-24,1496264
593,-21,1496273
594,-21,1496284
595,-17,1496310
596,-17,1496318
597,-17,1496329
596,-16,1496342
597,-15,1496351
597,-14,1496362
597,-9,1496374
595,-3,1496383
594,-8,1496427
1390,137,1496438
1747,202,1496451
1833,243,1496506
685,161,1496517
576,147,1496529
605,120,1496539
622,78,1496551
603,60,1496562
612,21,1496577
618,-1,1496584
622,-11,1496595
621,-17,1496608
634,-36,1496617
637,-31,1496629
638,-23,1496640
640,-23,1496651
641,-12,1496662
642,-9,1496687
643,-6,1496695
645,-6,1496706
645,-6,1496718
647,-6,1496728
665,-17,1496739
736,-70,1496765
755,-87,1496772
759,-90,1496784
766,-97,1496796
771,-101,1496806
806,-131,1496817
809,-133,1496843
809,-134,1496851
809,-132,1496862
809,-132,1496874
809,-132,1496884
810,-131,1496895
811,-131,1496921
813,-131,1496928
815,-134,1496939
815,-134,1496952
815,-132,1496962
815,-131,1496972
815,-132,1496984
815,-129,1497000
808,-71,1497005
733,696,1497031
731,732,1497039
730,742,1497050
729,754,1497062
729,761,1497072
729,779,1497084
729,795,1497109
729,800,1497117
727,800,1497129
727,801,1497140
726,803,1497151
726,817,1497161
727,839,1497187
732,883,1497195
735,909,1497205
736,930,1497219
738,942,1497228
746,1013,1497238
746,1016,1497265
748,1016,1497272
748,1017,1497284
748,1018,1497296
748,1018,1497305
749,1018,1497317
749,1018,1497328
750,1018,1497341
750,1019,1497350
746,1019,1497361
745,1019,1497372
744,1019,1497383
743,1019,1497395
744,1019,1497419
742,1013,1497428
742,1009,1497438
757,442,1497450
760,329,1497466
761,301,1497471
760,282,1497484
760,264,1497497
760,239,1497505
760,229,1497517
761,222,1497543
755,217,1497550
755,218,1497561
755,219,1497574
755,219,1497583
755,218,1497595
754,218,1497620
754,213,1497628
755,213,1497638
755,213,1497651
754,214,1497661
753,214,1497672
753,222,1497698
753,223,1497705
751,222,1497717
751,223,1497729
751,227,1497738
726,690,1497750
725,713,1497775
723,734,1497783
722,748,1497795
720,764,1497806
719,768,1497816
715,771,1497828
714,770,1497852
714,766,1497853
717,765,1497861
718,764,1497871
718,764,1497884
717,763,1497894
715,763,1497905
709,764,1497932
696,777,1497938
630,839,1497950
588,880,1497962
560,908,1497971
541,926,1497983
524,943,1498009
507,960,1498016
507,960,1498027
507,960,1498039
508,961,1498050
509,961,1498062
510,962,1498086
509,962,1498094
509,962,1498105
509,962,1498117
509,964,1498127
510,963,1498138
509,963,1498150
510,963,1498163
517,964,1498171
600,967,1498183
607,968,1498195
614,968,1498205
620,967,1498216
622,967,1498241
625,967,1498250
626,968,1498261
625,971,1498272
626,970,1498283
627,970,1498294
628,971,1498319
628,973,1498327
627,973,1498338
628,972,1498350
624,973,1498361
619,963,1498371
593,898,1498397
587,886,1498404
585,881,1498416
582,872,1498428
580,868,1498444
579,862,1498449
579,863,1498475
579,864,1498483
580,865,1498494
579,865,1498506
579,864,1498516
579,863,1498527
578,862,1498538
576,859,1498549
576,860,1498561
575,859,1498571
575,859,1498585
575,859,1498594
575,859,1498604
575,859,1498617
575,860,1498627
575,862,1498638
575,862,1498649
577,863,1498663
577,864,1498671
577,846,1498683
594,641,1498694
623,399,1498704
627,379,1498716
629,367,1498741
633,343,1498749
636,335,1498761
639,328,1498772
639,327,1498782
637,331,1498794
635,330,1498819
636,334,1498827
639,339,1498838
640,341,1498850
637,343,1498860
636,344,1498871
635,344,1498897
636,344,1498904
636,343,1498916
637,343,1498928
637,343,1498937
638,343,1498949
638,343,1498975
638,340,1498982
638,340,1498994
637,340,1499006
634,340,1499016
635,339,1499027
634,338,1499038
599,344,1499049
584,349,1499060
579,347,1499084
576,347,1499085
576,346,1499093
575,348,1499104
575,348,1499116
574,345,1499132
573,340,1499137
573,340,1499149
572,338,1499163
571,337,1499171
570,336,1499182
570,336,1499209
570,336,1499215
571,336,1499227
572,337,1499240
572,337,1499249
574,337,1499260
578,338,1499271
604,339,1499282
608,338,1499293
619,335,1499304
621,335,1499318
621,335,1499327
624,336,1499337
628,335,1499364
630,337,1499370
631,342,1499382
631,346,1499396
631,346,1499404
629,346,1499415
628,343,1499442
627,346,1499449
610,360,1499460
605,365,1499474
602,370,1499482
597,376,1499493
595,379,1499505
595,380,1499515
597,378,1499526
599,376,1499552
597,375,1499560
596,374,1499570
595,374,1499582
595,374,1499593
598,375,1499604
599,375,1499615
600,375,1499629
601,377,1499637
614,376,1499649
620,376,1499660
624,375,1499670
628,374,1499682
632,373,1499693
640,370,1499706
642,369,1499715
644,372,1499726
644,373,1499752
643,374,1499759
642,373,1499770
643,373,1499784
643,372,1499793
640,373,1499803
635,376,1499830
589,403,1499837
587,404,1499848
586,405,1499861
581,400,1499870
580,400,1499882
577,400,1499893
578,404,1499907
576,402,1499915
579,404,1499926
579,403,1499937
580,404,1499948
581,405,1499960
583,408,1499970
582,408,1499984
583,409,1499993
583,410,1500003
584,412,1500015
584,413,1500031
584,413,1500037
586,415,1500048
587,416,1500062
589,421,1500070
589,422,1500082
589,423,1500108
