area,duration,dispersion
Feedback,53,59.69831562857439
Answers,56,32.24213943824999
Feedback,25,18.681541692269406
Questions,1334,45.166666666666664
Answers,22,41.851589641918686
Feedback,3531,110.80720346800653
Answers,0,0.0
Questions,234,13.509163556638141
Answers,256,16.20433580453741
Questions,545,155.51286120446758
Feedback,4804,93.94684221839839
Questions,668,120.65731432449506
Feedback,2029,188.879790488824
Questions,0,0.0
Answers,265,23.684314335908695
Feedback,0,0.0
Answers,12,3.3541019662496847
Feedback,22,97.80820233725005
Answers,11,17.55704986607944
Questions,0,0.0
Answers,0,0.0
Feedback,2353,155.53191741774464
Questions,59,22.396428286671068
Answers,791,28.271595932243123
Feedback,34,155.0965425146544
Answers,258,33.564327039086855
Feedback,1433,57.5903171383799
Answers,113,18.491007419064566
Questions,12,0.0
Answers,387,7.8382450413203815
Questions,2968,71.67898960658142
Answers,695,67.83292801028848
Questions,180,24.328722094470972
Feedback,100,60.97763200500878
Answers,2192,63.28814591997981
Feedback,23,60.97904922548764
Questions,3203,322.8907466389604
Answers,629,52.60983676608572
Questions,699,35.51525493831254
Answers,3452,35.06336801045808
Feedback,0,0.0
Answers,844,8.569702077186104
Feedback,11337,196.6373050031894
Answers,675,15.536319689318443
Questions,173,17.525650843834587
Answers,100,8.608135686662937
Questions,460,108.67633456103779
Answers,44,24.306377763870945
Questions,215,3.113094605804867
Answers,648,42.628884435256396
Feedback,8048,158.02867606323812
Answers,27,50.93132631298737
Questions,7,50.08991914547278
Answers,132,53.37914698956263
Feedback,0,0.0
Answers,260,34.52151503048497
Questions,535,121.56231508861677
Answers,202,37.66163083962244
Feedback,0,0.0
Questions,678,101.96906386881551
Answers,3696,51.56742804092387
Feedback,0,0.0
Answers,1531,47.94061398371743
Feedback,41,131.24907618722503
Answers,1388,28.208039278515468
Feedback,0,0.0
Answers,119,8.729166461205676
Feedback,7046,164.75346313027683
Questions,0,0.0
Feedback,2686,163.5812197785329
Questions,9,54.79507277118993
Feedback,3851,145.22260501333358
Answers,998,44.12205993422685
Questions,1340,94.02783829802746
Answers,0,0.0
Questions,1999,100.58807200906465
Answers,544,33.21833496395895
Questions,1886,121.97346710828927
Answers,291,48.12758720612902
Questions,41,1.5491933384829668
Answers,1606,48.70819466113289
Questions,0,0.0
Answers,1721,47.033455746055516
Feedback,34,78.36891922184458
Answers,2586,55.580872057282086
Feedback,15289,195.7689924972643
Answers,379,13.679460517020809
Feedback,12,56.61271941887264
Answers,78,41.99460530830121
Questions,9,1.0
Answers,496,3.8189234197170405
Questions,660,41.862871377868956
Feedback,214,50.64293425665082
Questions,37,25.944384963053395
Feedback,122,23.403911116639364
Answers,229,11.295655657583312
Feedback,487,37.974325309556846
Answers,14,18.384776310850235
Questions,0,0.0
Answers,335,27.94880681655544
Feedback,1021,267.15433494037075
