area,duration,dispersion
Feedback,411,102.64992832665362
Answers,190,19.61224107541002
Questions,2410,88.35305902202116
Answers,20,24.531159323965465
Questions,144,8.97024401996834
Answers,3553,34.35883025595701
Feedback,856,109.07748392771076
Answers,3443,34.24857175330575
Questions,0,0.0
Answers,1403,37.616678918692074
Questions,611,5.838218906481665
Answers,21,38.83869776967869
Feedback,966,198.3606377335
Questions,136,7.861402730592168
Answers,692,30.13080025434011
Questions,433,2.7866524897743234
Answers,965,24.583171936295464
Feedback,256,17.69814933251266
Answers,312,20.82716279427353
Questions,660,98.68241169300175
Answers,181,24.167563201760974
Feedback,493,192.79599544074603
Answers,2088,24.821665976911284
Feedback,1375,16.238631718113776
Answers,285,30.559090106966217
Questions,1111,21.493587144493233
Answers,867,8.286535263104035
Feedback,9483,166.20751998441114
Questions,1154,180.4265431530892
Answers,212,39.60961846572118
Questions,3109,173.90667781643856
Answers,844,28.151337349777368
Questions,1303,51.7864160653051
Feedback,3823,201.44423040836327
Answers,1513,26.854343327520215
Feedback,9495,149.82252875805023
Questions,33,39.786932528155525
Feedback,112,90.48535793154603
Answers,200,24.917996998042668
Questions,5430,209.71368202791444
Answers,786,29.67976050431927
Feedback,0,0.0
Answers,2153,38.670907163836866
Questions,500,100.60429939465482
Answers,1447,48.47274557531755
Questions,0,0.0
Answers,4111,52.46336510455721
Feedback,13845,167.3931572764307
Answers,200,3.908999464902624
Feedback,17641,184.1914983841972
Questions,7,22.610838109190027
Answers,8,15.0
Feedback,18538,174.33266736238204
Questions,0,0.0
Answers,11,23.817010727629107
Feedback,121,17.322893656317905
Answers,221,30.594934221207275
Questions,253,2.9239676429227983
Answers,266,20.79409684664905
Questions,0,0.0
Answers,33,4.115519408288582
Questions,67,1.2133516482134197
Answers,31,0.9354143466934853
Feedback,8,55.502252206554644
Questions,1754,71.23819585515093
Feedback,44,72.17201673779111
Questions,367,11.737520018363098
Answers,700,39.13032001459283
Feedback,13,61.50203248673982
Questions,112,19.494871120374196
Answers,2324,46.14914541407003
Feedback,42,80.82968204811893
Answers,576,27.028057687648676
Feedback,723,43.194056254610956
Answers,212,30.836660875964483
Questions,743,114.12256902558237
Answers,233,13.00479590586826
Feedback,0,0.0
Answers,3413,20.314828270470045
Feedback,26211,183.35189249828514
Questions,26,29.94810326028827
Feedback,4884,236.82587152880498
Answers,857,49.92381134063695
Questions,649,192.56726681639057
Feedback,3767,111.34636360750422
