area,duration,dispersion
Answers,0,0.0
Questions,0,0.0
Feedback,855,69.48525866595735
Questions,0,0.0
Feedback,112,14.087228258248675
Answers,45,14.341809509263467
Questions,131,3.026503299555813
Answers,1476,35.57550762406321
Questions,354,12.813968073074701
Answers,0,0.0
Questions,110,7.6432977176085455
Answers,34,21.660736367907717
Questions,126,38.38085460226232
Feedback,22,34.99841266241783
Answers,337,56.117173421135334
Questions,421,38.22907769355964
Answers,913,34.733125725677745
Feedback,34,42.96437477725004
Answers,197,18.642140750587256
Questions,336,39.0893363820257
Answers,0,0.0
Questions,2910,53.43018848187941
Feedback,38,9.843215373488933
Questions,466,319.35246985110354
Answers,138,14.397978161809004
Questions,448,7.701258014116915
Answers,124,25.55777768116782
Questions,409,34.319295494078496
Answers,249,20.85467226718993
Feedback,169,15.63421157041734
Answers,0,0.0
Questions,143,24.23768301174388
Answers,124,29.20291081382128
Feedback,22,2.581988897471611
Answers,203,23.01994719259799
Questions,6707,200.06473157086344
Answers,45,15.671630419327785
Questions,0,0.0
Answers,102,51.68104101118707
Questions,4322,144.66448028910204
Answers,1881,43.50819590733579
Questions,2667,139.71459447771588
Answers,621,18.60173351588282
Feedback,11,0.0
Answers,688,32.23628287618579
Questions,1544,93.09193318806606
Answers,2586,39.95972998922358
Questions,155,5.1552292760738485
Answers,691,37.34161956482523
Feedback,8838,199.19475571159865
Questions,935,181.92206878526605
Feedback,166,21.699007783203136
Questions,614,47.770967188475986
Answers,135,23.92900378666488
Questions,647,115.55657566192971
Feedback,1676,113.4686881938238
Answers,2575,26.610127562431728
Questions,155,12.716291976541473
Answers,151,7.051197611406309
Feedback,566,179.3567916912035
Answers,189,15.148340576519338
Feedback,637,67.05551534094246
Answers,2145,38.93347833974602
Questions,945,61.145247581272805
Feedback,0,0.0
Answers,21,19.154343864744856
Questions,589,30.805296039100856
Answers,2153,30.48552542873376
Feedback,1066,47.98238034455368
Answers,757,36.76687746720579
Feedback,1230,123.8781071885304
Answers,1287,24.86034051397756
Questions,2017,273.1441188446658
Answers,456,11.225465706705002
Questions,2087,176.3930812056477
Answers,2751,24.869031947383878
Feedback,7058,153.85497037093512
Answers,33,39.186165359161585
Questions,1566,39.50567322214942
Feedback,2028,63.00278152676863
Answers,9,18.445866745696716
Questions,8749,165.2832984345189
Feedback,0,0.0
Questions,6319,202.48306697598193
Answers,0,0.0
Feedback,5052,102.73396804012862
Questions,512,79.53982493065973
Answers,199,18.83562752332746
Feedback,3723,139.3206858536207
Questions,966,99.32083580463822
Feedback,2268,180.23000098698975
Answers,592,28.264856697230087
Feedback,414,18.500791790488318
Answers,348,26.580324945293352
Questions,89,3.2691742076555053
Answers,241,12.799518131519363
Feedback,598,33.03118476947782
Answers,1266,22.710239818274715
Feedback,988,55.51529337875475
Questions,259,26.674318630030967
Feedback,3822,183.96124721981008
Answers,901,28.177153866208705
Questions,456,59.3576027143954
Feedback,966,106.84152334701668
Questions,44,44.24646878565565
Feedback,1010,93.31301869994876
Questions,188,19.976059890528962
Feedback,311,78.22429245800537
Questions,14,12.020815280171307
Feedback,2990,78.86446572494886
Answers,11,2.9154759474226504
Questions,889,30.339999267560238
Feedback,2413,106.7889617560784
Questions,888,53.76278917615789
Feedback,1053,106.38863661811311
Answers,33,23.79542439676633
Questions,13174,253.9387671460113
Answers,0,0.0
Questions,3763,191.24897220789848
Answers,499,28.819812953169784
Questions,111,5.797413216254298
Answers,855,38.6057651399479
Questions,52,2.223610677354389
Answers,12,1.5811388300841898
Questions,1698,10.353743284435827
Answers,34,2.345207879911715
Feedback,0,0.0
Answers,89,41.26855643222816
Questions,109,11.458621208504974
Answers,2480,42.03107940811038
Feedback,1044,82.65994596336648
Answers,11,32.7566787083184
Questions,12724,233.41800946589615
Feedback,1003,107.55050493192076
Questions,19892,253.12752652499728
Answers,508,24.318675486021192
Questions,3674,155.03123658016648
Answers,369,7.167245417023612
Questions,0,0.0
Feedback,23,0.0
Questions,60,3.9293765408777
Answers,5595,55.56393632532957
Feedback,340,34.18411936295126
Questions,1947,249.96916835195415
Answers,532,48.549974810325985
Questions,176,28.363259505845203
Answers,500,52.9243780872139
Questions,241,24.077854047974366
Feedback,323,50.81187228279826
Answers,144,7.173257370384472
Questions,286,55.97744617389425
Answers,1022,34.86641985578804
Feedback,13,0.0
Answers,571,8.536237282244182
Feedback,37,78.94020240381676
Questions,2772,74.20575173680784
Answers,3608,28.548311580622563
Questions,5804,195.6214873768458
Answers,228,49.35346160438598
Questions,589,28.720367409422735
Answers,434,63.32876553651348
Questions,88,35.96439211219898
Answers,1334,25.067959755632565
Feedback,9340,147.28900212460533
Answers,0,0.0
Questions,335,10.294706165293233
Answers,144,31.189741903388683
Feedback,1652,126.58294202197033
Answers,181,31.233600141158526
Questions,825,83.79820939332348
Answers,57,15.323185047502363
Questions,1184,25.4816816019017
Feedback,77,46.4811789867684
Questions,26,32.2490309931942
Feedback,4022,184.82677781158773
Answers,5096,35.395292199525834
Feedback,2791,157.90090852677272
Questions,800,72.00436166770423
Feedback,4400,95.08530436193318
