area,duration,dispersion
Feedback,1088,17.41385122633336
Answers,138,33.76486510712696
Questions,2286,29.27402859191061
Answers,471,25.354648943781132
Questions,7195,235.26623639643145
Answers,1167,31.24086480087875
Questions,85,0.7027283689263065
Answers,134,4.234448671970833
Questions,622,28.395648512445423
Answers,5395,53.75362306318187
Feedback,3719,223.67103737038155
Answers,4887,25.669627360877573
Questions,5874,206.21725593758367
Answers,0,0.0
Feedback,323,36.11755113514758
Answers,921,38.79363080218615
Questions,0,0.0
Feedback,978,158.43864336372457
Questions,13,3.1622776601683795
Feedback,0,0.0
Questions,156,21.554115190765884
Feedback,4373,152.36288341386657
Questions,4434,212.83511250819944
Feedback,25,20.006249023742555
Questions,2976,284.9749153332324
Answers,12,0.0
Questions,6961,192.08645492775528
Answers,813,53.045998243859074
Questions,664,39.85514910797687
Answers,6846,24.65595685392401
Feedback,7317,192.66329071401293
Answers,1584,14.299389160100365
Feedback,11835,196.02573034569247
Answers,342,19.61550746666504
Feedback,496,6.363961030678928
Questions,172,3.3512339862756875
Answers,164,42.98687117888437
Questions,6553,182.00289968073704
Answers,12,29.436372059070052
Questions,6190,189.7043145237657
Feedback,9,48.27007354458868
Answers,0,0.0
Questions,2953,222.0746658842402
Answers,393,9.493161601252767
Questions,4008,133.52793426276077
Answers,4522,47.191040068952574
Feedback,1842,80.99004699366682
Questions,9,2.23606797749979
Feedback,65,121.4240732126688
Questions,486,118.88900302939004
Feedback,3689,169.55450251651015
Questions,0,0.0
Feedback,54,53.27213155112155
